trial_index,spatial_frequency,temporal_frequency,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
28,0.5,5,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
29,0.5,5,270,left,293.08390617370605,0.010050535202026367,1,-387.5,11.4000244140625,-400.3013333333333,0.0
30,0.5,5,90,left,333.6472511291504,0.01066732406616211,1,-357.79998779296875,28.600006103515625,-400.3013333333333,0.0
31,0.5,2,270,left,250.3960132598877,0.010085105895996094,1,-366.0,3.0999755859375,-400.3013333333333,0.0
32,0.5,2,270,left,325.93679428100586,0.010008573532104492,1,-379.0,-6.5999755859375,-400.3013333333333,0.0
33,0.5,5,270,left,333.95934104919434,0.009997129440307617,1,-342.79998779296875,21.79998779296875,-400.3013333333333,0.0
34,0.5,5,270,left,323.6541748046875,0.009550094604492188,1,-350.0,-20.79998779296875,-400.3013333333333,0.0
35,0.5,5,90,left,315.8280849456787,0.00954294204711914,1,-351.9000244140625,52.5,-400.3013333333333,0.0
36,0.5,2,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
37,0.5,2,270,left,299.025297164917,0.0101470947265625,1,-378.0999755859375,34.0,-400.3013333333333,0.0
38,0.5,5,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
39,0.5,2,90,left,248.60906600952148,0.009975194931030273,1,-354.29998779296875,48.399993896484375,-400.3013333333333,0.0
40,0.5,5,90,left,322.6308822631836,0.010140657424926758,1,-380.20001220703125,103.60000610351562,-400.3013333333333,0.0
41,0.5,2,90,left,286.318302154541,0.010288000106811523,1,-379.9000244140625,43.100006103515625,-400.3013333333333,0.0
42,0.5,2,90,left,316.4405822753906,0.010540485382080078,1,-350.0999755859375,26.20001220703125,-400.3013333333333,0.0
43,0.5,2,90,left,290.682315826416,0.009729862213134766,1,-289.0,39.79998779296875,-400.3013333333333,0.0
44,0.5,5,270,left,288.67125511169434,0.010329008102416992,1,-274.29998779296875,9.9000244140625,-400.3013333333333,0.0
45,0.5,2,270,left,307.73305892944336,0.011497020721435547,1,-270.20001220703125,15.5999755859375,-400.3013333333333,0.0
46,0.5,2,90,left,330.0001621246338,0.009729623794555664,1,-375.20001220703125,25.20001220703125,-400.3013333333333,0.0
47,0.5,5,90,left,239.30716514587402,0.009772777557373047,1,-392.0999755859375,33.399993896484375,-400.3013333333333,0.0
48,0.5,5,90,left,322.63827323913574,0.010120153427124023,1,-359.0999755859375,36.20001220703125,-400.3013333333333,0.0
49,0.5,2,90,left,275.60949325561523,0.009849071502685547,1,-310.5,11.9000244140625,-400.3013333333333,0.0
50,0.5,2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
51,0.5,2,90,left,349.05076026916504,0.00998067855834961,1,-353.4000244140625,37.70001220703125,-400.3013333333333,0.0
52,0.5,5,270,left,290.8928394317627,0.01000523567199707,1,-376.4000244140625,-10.29998779296875,-400.3013333333333,0.0
53,0.5,5,270,left,344.7079658508301,0.009708404541015625,1,-385.0999755859375,-2.0,-400.3013333333333,0.0
54,0.5,2,270,left,471.97580337524414,0.010350465774536133,1,-380.5999755859375,2.5,-400.3013333333333,0.0
55,0.5,5,270,left,333.878755569458,0.009512662887573242,1,-356.5,4.9000244140625,-400.3013333333333,0.0
56,0.5,2,270,left,479.68506813049316,0.010003805160522461,1,-294.9000244140625,24.79998779296875,-400.3013333333333,0.0
57,0.5,2,270,left,306.1220645904541,0.009965896606445312,1,-374.4000244140625,-13.0999755859375,-400.3013333333333,0.0
58,0.5,5,270,left,411.99254989624023,0.010178804397583008,1,-408.70001220703125,-27.4000244140625,-400.3013333333333,0.0
59,0.5,2,270,left,284.0862274169922,0.010324954986572266,1,-328.5999755859375,-1.5,-400.3013333333333,0.0
60,0.5,5,90,left,380.07116317749023,0.010008573532104492,1,-334.4000244140625,34.899993896484375,-400.3013333333333,0.0
61,0.5,5,90,left,481.5516471862793,0.010297536849975586,1,-342.0,77.5,-400.3013333333333,0.0
62,0.5,2,270,left,263.98181915283203,0.00939631462097168,1,-264.5999755859375,34.399993896484375,-400.3013333333333,0.0
63,0.5,2,90,left,441.06364250183105,0.010286331176757812,1,-363.70001220703125,21.9000244140625,-400.3013333333333,0.0
64,0.5,2,270,left,301.0082244873047,0.009868383407592773,1,-332.70001220703125,27.0999755859375,-400.3013333333333,0.0
65,0.5,5,90,left,334.5217704772949,0.010016679763793945,1,-345.9000244140625,39.79998779296875,-400.3013333333333,0.0
66,0.5,2,90,left,479.31361198425293,0.03969764709472656,1,-310.0999755859375,60.399993896484375,-400.3013333333333,0.0
67,0.5,5,270,left,431.2286376953125,0.010095596313476562,1,-363.29998779296875,24.5999755859375,-400.3013333333333,0.0
68,0.5,2,270,left,333.3394527435303,0.009440422058105469,1,-390.20001220703125,26.70001220703125,-400.3013333333333,0.0
69,0.5,2,90,left,339.1270637512207,0.010167121887207031,1,-395.4000244140625,18.20001220703125,-400.3013333333333,0.0
70,0.5,2,270,left,289.4556522369385,0.009899616241455078,1,-317.79998779296875,28.29998779296875,-400.3013333333333,0.0
71,0.5,2,270,left,380.41019439697266,0.009892702102661133,1,-386.4000244140625,0.0,-400.3013333333333,0.0
72,0.5,2,90,left,206.53080940246582,0.00974273681640625,1,-334.20001220703125,44.600006103515625,-400.3013333333333,0.0
73,0.5,5,90,left,344.5618152618408,0.01003575325012207,1,-361.4000244140625,48.29998779296875,-400.3013333333333,0.0
74,0.5,2,90,left,373.10171127319336,0.009918212890625,1,-327.9000244140625,36.20001220703125,-400.3013333333333,0.0
75,0.5,2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
76,0.5,2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
77,0.5,2,270,left,333.18018913269043,0.010054349899291992,1,-323.70001220703125,-4.4000244140625,-400.3013333333333,0.0
78,0.5,2,90,left,405.03454208374023,0.009871721267700195,1,-332.4000244140625,33.20001220703125,-400.3013333333333,0.0
79,0.5,2,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
80,0.5,5,270,left,293.63369941711426,0.009972572326660156,1,-344.5999755859375,-15.4000244140625,-400.3013333333333,0.0
81,0.5,2,90,left,276.05748176574707,0.009999513626098633,1,-335.79998779296875,28.70001220703125,-400.3013333333333,0.0
82,0.5,5,90,left,285.79235076904297,0.010205984115600586,1,-278.5999755859375,38.600006103515625,-400.3013333333333,0.0
83,0.5,2,270,left,261.6310119628906,0.010024309158325195,1,-382.79998779296875,13.20001220703125,-400.3013333333333,0.0
84,0.5,2,90,left,177.86860466003418,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
85,0.5,5,270,left,329.46014404296875,0.004938840866088867,1,-350.0999755859375,40.20001220703125,-400.3013333333333,0.0
