trial_index,spatial_frequency,temporal_frequency,direction,side,saccade_rt,saccade_duration,correct,saccade_x,saccade_y,stim_x,stim_y
53,0.25,6,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
55,0.25,6,90,left,297.93405532836914,0.010101556777954102,1,-338.79998779296875,31.100006103515625,-400.3013333333333,0.0
56,0.25,3,270,left,340.41476249694824,0.010378122329711914,1,-379.9000244140625,4.20001220703125,-400.3013333333333,0.0
57,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
58,0.25,3,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
59,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
60,0.25,6,90,left,221.58360481262207,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
61,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
62,0.25,6,90,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
63,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
64,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
65,0.25,3,270,left,-1.0,-1.0,0,-1.0,-1.0,-400.3013333333333,0.0
